Date,AAPL,BA,DIS,IBM,KO,MSFT,Day,Quarter
2010-10-05,10.31928539276123,68.5999984741211,33.83000183105469,137.66000366210938,29.82999992370605,24.350000381469727,Tuesday,4
2010-10-06,10.328214645385742,68.58000183105469,33.720001220703125,137.83999633789062,29.899999618530277,24.43000030517578,Wednesday,4
2010-10-07,10.329285621643066,68.45999908447266,33.90999984741211,138.72000122070312,29.71999931335449,24.530000686645508,Thursday,4
2010-10-08,10.5024995803833,69.2300033569336,34.5099983215332,138.85000610351562,29.70499992370605,24.56999969482422,Friday,4
2010-10-11,10.548571586608888,69.98999786376953,34.56999969482422,139.66000366210938,29.780000686645508,24.59000015258789,Monday,4
2010-10-12,10.662142753601074,70.22000122070312,34.47999954223633,139.85000610351562,29.799999237060547,24.82999992370605,Tuesday,4
2010-10-13,10.71928596496582,71.47000122070312,34.90999984741211,140.3699951171875,29.96999931335449,25.34000015258789,Wednesday,4
2010-10-14,10.796785354614258,71.36000061035156,34.849998474121094,141.5,29.95499992370605,25.229999542236328,Thursday,4
2010-10-15,11.240714073181152,70.11000061035156,34.880001068115234,141.05999755859375,29.96999931335449,25.540000915527344,Friday,4
2010-10-18,11.357142448425291,70.2300033569336,34.75,142.8300018310547,30.0,25.81999969482422,Monday,4
2010-10-19,11.053214073181152,69.05000305175781,34.2400016784668,138.02999877929688,30.170000076293945,25.100000381469727,Tuesday,4
2010-10-20,11.090356826782228,71.36000061035156,34.619998931884766,139.07000732421875,30.575000762939453,25.309999465942383,Wednesday,4
2010-10-21,11.054286003112791,71.5,34.68000030517578,139.8300018310547,30.73500061035156,25.420000076293945,Thursday,4
2010-10-22,10.981071472167969,71.26000213623047,34.970001220703125,139.6699981689453,30.80500030517578,25.3799991607666,Friday,4
2010-10-25,11.029999732971191,71.66000366210938,35.459999084472656,139.83999633789062,30.5049991607666,25.190000534057617,Monday,4
2010-10-26,11.001785278320312,71.30000305175781,35.959999084472656,140.6699981689453,30.6200008392334,25.899999618530277,Tuesday,4
2010-10-27,10.993928909301758,70.86000061035156,35.91999816894531,141.42999267578125,30.59499931335449,26.049999237060547,Wednesday,4
2010-10-28,10.90142822265625,71.2699966430664,36.5099983215332,140.89999389648438,30.604999542236328,26.280000686645508,Thursday,4
2010-10-29,10.749285697937012,70.63999938964844,36.130001068115234,143.60000610351562,30.65999984741211,26.670000076293945,Friday,4
2010-11-01,10.863571166992188,70.4800033569336,36.02999877929688,143.32000732421875,30.854999542236328,26.950000762939453,Monday,4
2010-11-02,11.048571586608888,69.77999877929688,36.11000061035156,143.83999633789062,30.93000030517578,27.38999938964844,Tuesday,4
2010-11-03,11.171428680419922,68.94000244140625,36.290000915527344,144.1699981689453,30.975000381469727,27.030000686645508,Wednesday,4
2010-11-04,11.366786003112791,70.8499984741211,37.02999877929688,146.7899932861328,31.225000381469727,27.13999938964844,Thursday,4
2010-11-05,11.326071739196776,71.2699966430664,37.20000076293945,146.9199981689453,31.290000915527344,26.850000381469727,Friday,4
2010-11-08,11.37928581237793,70.20999908447266,37.060001373291016,146.4600067138672,31.229999542236328,26.809999465942383,Monday,4
2010-11-09,11.28857135772705,69.25,36.86000061035156,146.13999938964844,31.31999969482422,26.950000762939453,Tuesday,4
2010-11-10,11.358214378356934,67.06999969482422,36.9900016784668,146.5500030517578,31.274999618530277,26.940000534057617,Wednesday,4
2010-11-11,11.30892848968506,65.37000274658203,35.93000030517578,145.42999267578125,31.399999618530277,26.68000030517578,Thursday,4
2010-11-12,11.001070976257324,63.09000015258789,37.75,143.74000549316406,31.459999084472656,26.270000457763672,Friday,4
2010-11-15,10.96571445465088,63.61000061035156,37.25,143.63999938964844,31.479999542236328,26.200000762939453,Monday,4
2010-11-16,10.771071434020996,62.77999877929688,36.91999816894531,142.24000549316406,31.040000915527344,25.809999465942383,Tuesday,4
2010-11-17,10.732142448425291,62.5,37.220001220703125,141.9499969482422,31.26000022888184,25.56999969482422,Wednesday,4
2010-11-18,11.01535701751709,64.61000061035156,37.58000183105469,144.36000061035156,31.920000076293945,25.84000015258789,Thursday,4
2010-11-19,10.95464324951172,63.59000015258789,37.0099983215332,145.0500030517578,32.15999984741211,25.690000534057617,Friday,4
2010-11-22,11.191428184509276,64.02999877929688,36.95000076293945,145.38999938964844,32.1349983215332,25.729999542236328,Monday,4
